,Beta [degrees],Cv [-],LCG [%L],Tao [degrees],Fn [-],H1/3 /b [-],ncg [g]
50,20,0.48,42.3,4,1.78488494,0.222,0.83
51,20,0.48,42.3,4,1.78488494,0.444,1.88
52,20,0.48,41.2,4,0.594961647,0.222,0.13
53,20,0.48,41.2,4,0.594961647,0.444,0.15
54,20,0.48,41.2,4,0.594961647,0.677,0.3
55,20,0.384,38.6,4,0.594961647,0.667,0.39
56,20,0.384,38.6,4,0.594961647,0.444,0.3
57,20,0.384,35,4,1.78488494,0.444,1.81
58,20,0.384,35,4,1.78488494,0.222,0.95
59,20,0.600000024,44.4,2.329999924,1.186948488,0.439999998,0.350885246
60,20,0.600000024,41.4,3.470000029,1.186948488,0.439999998,0.438836066
61,20,0.720000029,44.4,2.849999905,1.183973683,0.439999998,0.330557377
62,20,0.720000029,35.4,6.119999886,1.186948488,0.439999998,0.69154918
63,20,0.600000024,44.4,2.220000029,1.186948488,0.670000017,0.41095082
64,20,0.600000024,41.4,3.680000067,1.189923294,0.670000017,0.670614754
65,20,0.720000029,44.4,2.589999914,1.189923294,0.670000017,0.41252459
66,20,0.720000029,35.4,6.510000229,1.189923294,0.670000017,1.020983607
67,20,0.600000024,44.4,2.910000086,1.77893533,0.439999998,0.768065574
68,20,0.600000024,41.4,3.480000019,1.77893533,0.439999998,0.908836066
69,20,0.720000029,44.4,3.480000019,1.781910064,0.439999998,0.827180328
70,20,0.720000029,35.4,4.659999847,1.781910064,0.439999998,1.071606557
71,20,0.600000024,44.4,3.339999914,1.77893533,0.670000017,1.08652459
72,20,0.600000024,41.4,4.010000229,1.77893533,0.670000017,1.195852459
73,20,0.720000029,44.4,3.579999924,1.77893533,0.670000017,1.053016393
74,20,0.720000029,35.4,5.5,1.77893533,0.670000017,1.369360656
75,20,0.600000024,44.4,2.539999962,2.379846587,0.439999998,0.955114754
76,20,0.600000024,41.4,3.170000076,2.379846587,0.439999998,1.139278689
77,20,0.720000029,44.4,2.890000105,2.379846587,0.439999998,0.946262295
78,20,0.720000029,35.4,3.99000001,2.379846587,0.439999998,1.223942623
79,20,0.600000024,44.4,3.329999924,2.379846587,0.670000017,1.295409836
80,20,0.600000024,41.4,3.589999914,2.379846587,0.670000017,1.397639344
81,20,0.720000029,44.4,3.49000001,2.376871711,0.670000017,1.192786885
82,20,0.720000029,35.4,4.590000153,2.379846587,0.670000017,1.443672131
83,20,0.730000019,39.71428571,2.109999895,1.005485217,0.219999999,0.182722628
84,20,0.959999979,39.71428571,2.670000076,1.005485217,0.219999999,0.198233577
85,20,0.959999979,28.57142857,6.5,1.002510341,0.219999999,0.244671533
